"The Shawshank Redemption","9.3","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","R","2h 22min","1994","Frank Darabont","25000000","","58500000"
"The Godfather","9.2","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","","Crime","1972","Francis Ford Coppola","6000000","","245066411"
"The Godfather: Part II","9.0","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","","Crime","1974","Francis Ford Coppola","13000000","",""
"The Dark Knight","9.0","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","PG-13","2h 32min","2008","Christopher Nolan","185000000","","1004558444192012"
"12 Angry Men","8.9","A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","","Crime","1957","Sidney Lumet","350000","",""
"Schindler's List","8.9","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","R","3h 15min","1993","Steven Spielberg","22000000","","221000000"
"The Lord of the Rings: The Return of the King","8.9","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","PG-13","3h 21min","2003","Peter Jackson","94000000","","1119929521252011"
"Pulp Fiction","8.9","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","R","2h 34min","1994","Quentin Tarantino","8000000","","213928762"
"Il buono, il brutto, il cattivo","8.9","A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","","Western","1966","Sergio Leone","1200000","",""
"Fight Club","8.8","An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soapmaker, forming an underground fight club that evolves into something much, much more.","R","2h 19min","1999","David Fincher","63000000","","100853753"
"The Lord of the Rings: The Fellowship of the Ring","8.8","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","PG-13","2h 58min","2001","Peter Jackson","93000000","","871530324252011"
"Forrest Gump","8.8","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","PG-13","2h 22min","1994","Robert Zemeckis","55000000","","677945399"
"Star Wars: Episode V - The Empire Strikes Back","8.8","After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","PG","2h 4min","1980","Irvin Kershner","18000000","","247916602"
"Inception","8.8","A thief, who steals corporate secrets through the use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","PG-13","2h 28min","2010","Christopher Nolan","160000000","","82553276462011"
"The Lord of the Rings: The Two Towers","8.7","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","PG-13","2h 59min","2002","Peter Jackson","94000000","","926047111252011"
